Fecha;Sucursal;Region;Vendedor;Cliente;Producto;Categoria;Metodo_Pago;ID_Venta;Cantidad;Precio_Unitario;Total
15-04-2023;Sevilla;Sur;Ana;Nuevo;Lámpara;Hogar;Efectivo;1;8;142.35;1138.80
12-02-2023;Bilbao;Norte;Carlos;Recurrente;Zapatos;Ropa;Tarjeta;2;12;98.44;1181.28
06-10-2023;Valencia;Este;Marta;Nuevo;Smartphone;Electrónica;Transferencia;3;5;210.67;1053.35
02-10-2023;Bilbao;Norte;Luis;Nuevo;Chaqueta;Ropa;Tarjeta;4;3;120.55;361.65
05-11-2023;Zaragoza;Noreste;Ana;Recurrente;Silla;Hogar;Efectivo;5;10;55.22;552.20
11-10-2023;Madrid;Centro;Marta;;Pantalones;Ropa;Efectivo;6;7;89.33;625.31
27-03-2023;Madrid;Centro;Carlos;Nuevo;Laptop;Electrónica;Tarjeta;7;2;350.80;701.60
05-03-2023;Bilbao;Norte;Ana;Nuevo;Camiseta;Ropa;Transferencia;8;6;45.70;274.20
08-09-2023;Sevilla;Sur;Marta;Nuevo;Lámpara;Hogar;Transferencia;9;4;132.18;528.72
21-08-2023;Sevilla;Sur;Luis;Recurrente;Smartphone;Electrónica;Efectivo;10;9;95.40;858.60
13-02-2023;Malaga;Sur;Carlos;Nuevo;Camiseta;Ropa;Tarjeta;11;11;72.30;795.30
28-02-2023;Malaga;Sur;Ana;Nuevo;Cafetera;Hogar;Efectivo;12;5;140.25;701.25
06-06-2023;Bilbao;Norte;Marta;Recurrente;Zapatos;Ropa;Transferencia;13;3;160.10;480.30
23-12-2023;Sevilla;Sur;Carlos;Nuevo;Auriculares;Electrónica;Tarjeta;14;7;80.45;563.15
02-11-2023;Zaragoza;Noreste;Luis;Recurrente;Silla;Hogar;Tarjeta;15;6;110.90;665.40
15-08-2023;Madrid;Centro;Ana;Nuevo;Chaqueta;Ropa;Efectivo;16;9;65.75;591.75
23-05-2023;Bilbao;Norte;Carlos;Nuevo;Humidificador;Hogar;Tarjeta;17;8;70.30;562.40
08-03-2023;Zaragoza;Noreste;Marta;Recurrente;Lámpara;Hogar;Tarjeta;18;10;115.80;1158.00
18-11-2023;Sevilla;Sur;Ana;Recurrente;Smartphone;Electrónica;Tarjeta;19;6;150.60;903.60
13-03-2023;Valencia;Este;Luis;Nuevo;Auriculares;Electrónica;Efectivo;20;4;60.25;241.00
18-02-2023;Madrid;Centro;Carlos;Recurrente;Chaqueta;Ropa;Tarjeta;21;10;88.40;884.00
15-06-2023;Malaga;Sur;Marta;;Lámpara;Hogar;Efectivo;22;7;120.75;845.25
22-05-2023;Madrid;Centro;Luis;Recurrente;Laptop;Electrónica;Tarjeta;23;3;310.20;930.60
19-02-2023;Madrid;Centro;Ana;Recurrente;Pantalones;Ropa;Transferencia;24;14;75.10;1051.40
15-10-2023;Valencia;Este;Carlos;Nuevo;Auriculares;Electrónica;Efectivo;25;9;68.90;620.10
10-03-2023;Valencia;Este;Marta;Nuevo;Lámpara;Hogar;Efectivo;26;12;98.60;1183.20
06-07-2023;Bilbao;Norte;Luis;Nuevo;Zapatos;Ropa;Tarjeta;27;7;130.45;913.15
04-01-2023;Barcelona;Este;Ana;Recurrente;Pantalones;Ropa;Transferencia;28;2;140.30;280.60
03-02-2023;Madrid;Centro;Marta;Nuevo;Cafetera;Hogar;Efectivo;29;4;85.60;342.40
21-09-2023;Zaragoza;Noreste;Carlos;Recurrente;Lámpara;Hogar;Efectivo;30;11;70.25;772.75
07-06-2023;Sevilla;Sur;Luis;Recurrente;Laptop;Electrónica;Transferencia;31;2;390.50;781.00
12-09-2023;Valencia;Este;Ana;Nuevo;Silla;Hogar;Transferencia;32;9;65.40;588.60
22-01-2023;Barcelona;Este;Marta;Recurrente;Auriculares;Electrónica;Efectivo;33;6;95.75;574.50
12-06-2023;Sevilla;Sur;Carlos;Nuevo;Chaqueta;Ropa;Efectivo;34;8;77.90;623.20
08-11-2023;Zaragoza;Noreste;Luis;Nuevo;Laptop;Electrónica;Efectivo;35;3;280.30;840.90
07-08-2023;Bilbao;Norte;Ana;Recurrente;Auriculares;Electrónica;Efectivo;36;2;35.60;71.20
14-05-2023;Malaga;Sur;Marta;Nuevo;Camiseta;Ropa;Efectivo;37;10;82.40;824.00
09-11-2023;Valencia;Este;Carlos;Recurrente;Humidificador;Hogar;Tarjeta;38;7;120.10;840.70
15-11-2023;Sevilla;Sur;Marta;Recurrente;Smartphone;Electrónica;Tarjeta;39;8;140.80;1126.40
13-07-2023;Sevilla;Sur;Ana;Nuevo;Auriculares;Electrónica;Tarjeta;40;3;45.90;137.70
04-01-2023;Madrid;Centro;Carlos;Recurrente;Lámpara;Hogar;Efectivo;41;5;110.25;551.25
05-02-2023;Sevilla;Sur;Luis;Recurrente;Chaqueta;Ropa;Transferencia;42;12;60.40;724.80
17-02-2023;Bilbao;Norte;Marta;Recurrente;Pantalones;Ropa;Tarjeta;43;11;55.20;607.20
05-05-2023;Barcelona;Este;Ana;Nuevo;Humidificador;Hogar;Efectivo;44;9;90.35;813.15
19-06-2023;Valencia;Este;Luis;Nuevo;Silla;Hogar;Transferencia;45;3;150.80;452.40
18-12-2023;Barcelona;Este;Carlos;Nuevo;Pantalones;Ropa;Efectivo;46;6;70.15;420.90
02-11-2023;Valencia;Este;Marta;Recurrente;Lámpara;Hogar;Efectivo;47;10;85.60;856.00
02-11-2023;Madrid;Centro;Ana;;Smartphone;Electrónica;Efectivo;48;12;95.30;1143.60
11-05-2023;Bilbao;Norte;Luis;Nuevo;Laptop;Electrónica;Transferencia;49;8;320.75;2566.00
19-07-2023;Sevilla;Sur;Ana;Recurrente;Cafetera;Hogar;Efectivo;50;5;125.90;629.50
