Region,Producto,Año,Mes,Meta_Ventas
Centro,Cafetera,2024,7,252.68
Centro,Chaqueta,2024,1,617.54
Centro,Chaqueta,2024,5,983.4
Centro,Laptop,2024,4,1034.39
Centro,Laptop,2024,7,211.92
Centro,Lámpara,2024,8,723.95
Centro,Pantalones,2024,3,1857.24
Centro,Smartphone,2024,10,796.29
Este,Auriculares,2024,1,205.48
Este,Auriculares,2024,3,1254.82
Este,Humidificador,2024,9,2091.38
Este,Humidificador,2024,10,551.17
Este,Lámpara,2024,8,2203.61
Este,Pantalones,2024,3,178.53
Este,Pantalones,2024,8,372.37
Este,Silla,2024,3,1022.01
Este,Silla,2024,10,203.58
Este,Smartphone,2024,11,1837.74
Noreste,Laptop,2024,10,513.0
Noreste,Lámpara,2024,1,643.21
Noreste,Lámpara,2024,6,2362.0
Noreste,Silla,2024,5,1771.68
Noreste,Silla,2024,6,692.5
Norte,Auriculares,2024,1,22.26
Norte,Chaqueta,2024,9,2438.57
Norte,Humidificador,2024,6,1080.82
Norte,Laptop,2024,2,3153.64
Norte,Pantalones,2024,1,524.54
Norte,Smartphone,2024,12,290.31
Norte,Zapatos,2024,5,417.49
Norte,Zapatos,2024,10,1625.8
Sur,Auriculares,2024,2,2451.64
Sur,Auriculares,2024,5,28.13
Sur,Cafetera,2024,12,599.32
Sur,Camiseta,2024,10,1475.98
Sur,Chaqueta,2024,1,599.34
Sur,Laptop,2024,3,875.07
Sur,Lámpara,2024,3,500.87
Sur,Lámpara,2024,6,2449.83
Sur,Lámpara,2024,10,1056.33
Sur,Smartphone,2024,5,1629.6
Sur,Smartphone,2024,9,717.57
